DATE,AREA,EQUIPMENT,SHIFT,KWH,OUTPUT_UNITS,TEMPERATURE_C,DOWNTIME_MIN,STATUS
2026-06-01,FAB-1,Compressor-A,Day,1280,940,23.2,12,normal
2026-06-01,FAB-1,Compressor-B,Night,1190,880,22.8,18,normal
2026-06-01,FAB-2,Chiller-A,Day,1560,1020,24.1,25,watch
2026-06-02,FAB-1,Compressor-A,Day,1325,960,23.5,10,normal
2026-06-02,FAB-1,Compressor-B,Night,1215,890,23.0,16,normal
2026-06-02,FAB-2,Chiller-A,Day,1620,1015,24.8,34,watch
2026-06-03,FAB-1,Compressor-A,Day,1410,970,24.2,15,watch
2026-06-03,FAB-1,Compressor-B,Night,1260,900,23.6,22,normal
2026-06-03,FAB-2,Chiller-A,Day,1750,1005,25.5,48,warning
2026-06-04,FAB-1,Compressor-A,Day,1350,965,23.7,11,normal
2026-06-04,FAB-1,Compressor-B,Night,1240,905,23.3,20,normal
2026-06-04,FAB-2,Chiller-A,Day,1695,1012,25.1,39,watch
2026-06-05,FAB-1,Compressor-A,Day,1460,982,24.5,18,watch
2026-06-05,FAB-1,Compressor-B,Night,1290,910,23.9,24,normal
2026-06-05,FAB-2,Chiller-A,Day,1825,998,26.0,55,warning
2026-06-06,FAB-1,Compressor-A,Day,1385,975,24.0,14,normal
2026-06-06,FAB-1,Compressor-B,Night,1275,908,23.5,21,normal
2026-06-06,FAB-2,Chiller-A,Day,1770,1008,25.6,42,watch
